#t0_Mstar=1.000000e+10 (N07Mbar=2.568469e+10) t0_sfr=7.255066e-01	1.00000000000000001988462483866e+30 t0_sfr=8.317638e-01
#tlb ,red_binl[i],Mstar[i],CSFH[i],phi[i],dMLdt[i],massloss_to_t0[i], Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi	1.00000000000000001988462483866e+30 Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi
1.309839e+10 9.000000 0.000000e+00	0.000000e+00 8.923112e+06
1.308530e+10 8.847726 0.000000e+00	0.000000e+00 6.838010e+06
1.307220e+10 8.701050 0.000000e+00	0.000000e+00 6.481226e+06
1.305910e+10 8.559660 0.000000e+00	0.000000e+00 6.275538e+06
1.304600e+10 8.423368 0.000000e+00	0.000000e+00 6.132070e+06
1.303290e+10 8.291842 0.000000e+00	0.000000e+00 6.022718e+06
1.301980e+10 8.164779 0.000000e+00	0.000000e+00 5.934926e+06
1.300671e+10 8.041947 0.000000e+00	0.000000e+00 5.861990e+06
1.299361e+10 7.923131 0.000000e+00	0.000000e+00 5.799907e+06
1.298051e+10 7.808144 0.000000e+00	0.000000e+00 5.746097e+06
1.296741e+10 7.696830 0.000000e+00	0.000000e+00 5.698799e+06
1.295431e+10 7.588952 0.000000e+00	0.000000e+00 5.656759e+06
1.294121e+10 7.484347 0.000000e+00	0.000000e+00 5.619052e+06
1.292811e+10 7.382859 0.000000e+00	0.000000e+00 5.584975e+06
1.291502e+10 7.284344 0.000000e+00	0.000000e+00 5.553983e+06
1.290192e+10 7.188666 0.000000e+00	0.000000e+00 5.525646e+06
1.288882e+10 7.095696 0.000000e+00	0.000000e+00 5.499616e+06
1.287572e+10 7.005312 0.000000e+00	0.000000e+00 5.475608e+06
1.286262e+10 6.917401 0.000000e+00	0.000000e+00 5.453389e+06
