#t0_Mstar=3.981072e+10 (N07Mbar=5.653661e+10) t0_sfr=1.780908e+00	1.00000000000000001988462483866e+30 t0_sfr=9.220171e-01
#tlb ,red_binl[i],Mstar[i],CSFH[i],phi[i],dMLdt[i],massloss_to_t0[i], Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi	1.00000000000000001988462483866e+30 Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi
1.309839e+10 9.000000 0.000000e+00	0.000000e+00 8.371179e+08
1.308530e+10 8.847726 0.000000e+00	0.000000e+00 6.897032e+08
1.307220e+10 8.701050 0.000000e+00	0.000000e+00 6.663330e+08
1.305910e+10 8.559660 0.000000e+00	0.000000e+00 6.537424e+08
1.304600e+10 8.423368 0.000000e+00	0.000000e+00 6.455714e+08
1.303290e+10 8.291842 0.000000e+00	0.000000e+00 6.398149e+08
1.301980e+10 8.164779 0.000000e+00	0.000000e+00 6.355797e+08
1.300671e+10 8.041947 0.000000e+00	0.000000e+00 6.323902e+08
1.299361e+10 7.923131 0.000000e+00	0.000000e+00 6.299632e+08
1.298051e+10 7.808144 0.000000e+00	0.000000e+00 6.281168e+08
1.296741e+10 7.696830 0.000000e+00	0.000000e+00 6.267272e+08
1.295431e+10 7.588952 0.000000e+00	0.000000e+00 6.257063e+08
1.294121e+10 7.484347 0.000000e+00	0.000000e+00 6.249894e+08
1.292811e+10 7.382859 0.000000e+00	0.000000e+00 6.245275e+08
1.291502e+10 7.284344 0.000000e+00	0.000000e+00 6.242827e+08
1.290192e+10 7.188666 0.000000e+00	0.000000e+00 6.242251e+08
1.288882e+10 7.095696 0.000000e+00	0.000000e+00 6.243306e+08
1.287572e+10 7.005312 0.000000e+00	0.000000e+00 6.245798e+08
1.286262e+10 6.917401 0.000000e+00	0.000000e+00 6.249563e+08
1.284952e+10 6.831855 0.000000e+00	0.000000e+00 6.254468e+08
1.283643e+10 6.748572 0.000000e+00	0.000000e+00 6.260400e+08
1.282333e+10 6.667456 0.000000e+00	0.000000e+00 6.267261e+08
1.281023e+10 6.588431 0.000000e+00	0.000000e+00 6.274970e+08
1.279713e+10 6.511436 0.000000e+00	0.000000e+00 6.283454e+08
1.278403e+10 6.436355 0.000000e+00	0.000000e+00 6.292653e+08
1.277093e+10 6.363109 0.000000e+00	0.000000e+00 6.302511e+08
1.275784e+10 6.291625 0.000000e+00	0.000000e+00 6.312983e+08
1.274474e+10 6.221832 0.000000e+00	0.000000e+00 6.324025e+08
1.273164e+10 6.153665 0.000000e+00	0.000000e+00 6.335601e+08
