#t0_Mstar=7.943282e+10 (N07Mbar=9.103781e+10) t0_sfr=2.790239e+00	1.00000000000000001988462483866e+30 t0_sfr=6.606934e+00
#tlb ,red_binl[i],Mstar[i],CSFH[i],phi[i],dMLdt[i],massloss_to_t0[i], Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi	1.00000000000000001988462483866e+30 Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi
1.309839e+10 9.000000 0.000000e+00	0.000000e+00 2.687136e+09
1.308530e+10 8.847726 0.000000e+00	0.000000e+00 2.222282e+09
1.307220e+10 8.701050 0.000000e+00	0.000000e+00 2.150645e+09
1.305910e+10 8.559660 0.000000e+00	0.000000e+00 2.113112e+09
1.304600e+10 8.423368 0.000000e+00	0.000000e+00 2.089543e+09
1.303290e+10 8.291842 0.000000e+00	0.000000e+00 2.073597e+09
1.301980e+10 8.164779 0.000000e+00	0.000000e+00 2.062452e+09
1.300671e+10 8.041947 0.000000e+00	0.000000e+00 2.054606e+09
1.299361e+10 7.923131 0.000000e+00	0.000000e+00 2.049168e+09
1.298051e+10 7.808144 0.000000e+00	0.000000e+00 2.045564e+09
1.296741e+10 7.696830 0.000000e+00	0.000000e+00 2.043404e+09
1.295431e+10 7.588952 0.000000e+00	0.000000e+00 2.042413e+09
1.294121e+10 7.484347 0.000000e+00	0.000000e+00 2.042386e+09
1.292811e+10 7.382859 0.000000e+00	0.000000e+00 2.043170e+09
1.291502e+10 7.284344 0.000000e+00	0.000000e+00 2.044646e+09
1.290192e+10 7.188666 0.000000e+00	0.000000e+00 2.046721e+09
1.288882e+10 7.095696 0.000000e+00	0.000000e+00 2.049320e+09
1.287572e+10 7.005312 0.000000e+00	0.000000e+00 2.052382e+09
1.286262e+10 6.917401 0.000000e+00	0.000000e+00 2.055856e+09
1.284952e+10 6.831855 0.000000e+00	0.000000e+00 2.059700e+09
1.283643e+10 6.748572 0.000000e+00	0.000000e+00 2.063879e+09
1.282333e+10 6.667456 0.000000e+00	0.000000e+00 2.068364e+09
1.281023e+10 6.588431 0.000000e+00	0.000000e+00 2.073128e+09
1.279713e+10 6.511436 0.000000e+00	0.000000e+00 2.078150e+09
1.278403e+10 6.436355 0.000000e+00	0.000000e+00 2.083410e+09
1.277093e+10 6.363109 0.000000e+00	0.000000e+00 2.088892e+09
1.275784e+10 6.291625 0.000000e+00	0.000000e+00 2.094582e+09
1.274474e+10 6.221832 0.000000e+00	0.000000e+00 2.100466e+09
1.273164e+10 6.153665 0.000000e+00	0.000000e+00 2.106533e+09
1.271854e+10 6.087102 0.000000e+00	0.000000e+00 2.112773e+09
1.270544e+10 6.022088 0.000000e+00	0.000000e+00 2.119178e+09
1.269234e+10 5.958522 0.000000e+00	0.000000e+00 2.125738e+09
1.267925e+10 5.896348 0.000000e+00	0.000000e+00 2.132447e+09
1.266615e+10 5.835515 0.000000e+00	0.000000e+00 2.139298e+09
1.265305e+10 5.776057 0.000000e+00	0.000000e+00 2.146286e+09
1.263995e+10 5.717866 0.000000e+00	0.000000e+00 2.153406e+09
1.262685e+10 5.660874 0.000000e+00	0.000000e+00 2.160651e+09
1.261375e+10 5.605040 0.000000e+00	0.000000e+00 2.168019e+09
1.260065e+10 5.550427 0.000000e+00	0.000000e+00 2.175505e+09
